,precision,recall,f1-score,support
falling,0.9714285714285714,1.0,0.9855072463768115,102.0
jogging,1.0,1.0,1.0,102.0
jumping,1.0,1.0,1.0,102.0
sitting,0.9611650485436893,0.9705882352941176,0.9658536585365853,102.0
standing,0.9607843137254902,0.9607843137254902,0.9607843137254902,102.0
walking,1.0,0.9607843137254902,0.98,102.0
accuracy,0.9820261437908496,0.9820261437908496,0.9820261437908496,0.9820261437908496
macro avg,0.9822296556162918,0.9820261437908497,0.9820242031064813,612.0
weighted avg,0.9822296556162919,0.9820261437908496,0.9820242031064812,612.0
