epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8916364908218384,0.0010000000474974513,0.371768057346344,0.9451122283935547,0.19201350212097168
1,0.9455105066299438,0.0010000000474974513,0.20408183336257935,0.8363504409790039,0.5778490900993347
2,0.9534395337104797,0.0010000000474974513,0.16677126288414001,0.9509051442146301,0.19004015624523163
3,0.9596307277679443,0.0010000000474974513,0.1418571025133133,0.8360608220100403,0.4099263548851013
4,0.9295437932014465,0.0010000000474974513,0.22574877738952637,0.9539464116096497,0.15941663086414337
5,0.9583997130393982,0.0010000000474974513,0.13929620385169983,0.972338855266571,0.10983329266309738
6,0.934829831123352,0.0010000000474974513,0.21220192313194275,0.88616943359375,0.3397613763809204
7,0.9503620266914368,0.0010000000474974513,0.16692067682743073,0.914409875869751,0.24663275480270386
8,0.9549964070320129,0.0010000000474974513,0.14670006930828094,0.9472845792770386,0.17521041631698608
9,0.9601376056671143,0.00020000000949949026,0.1308244913816452,0.941926121711731,0.18469633162021637
10,0.96049964427948,0.00020000000949949026,0.1320641040802002,0.9480087161064148,0.16645029187202454
0,0.8601014018058777,0.0010000000474974513,0.44411197304725647,0.9559739232063293,0.16125014424324036
1,0.953077495098114,0.0010000000474974513,0.17180746793746948,0.9566980600357056,0.15076354146003723
2,0.9583997130393982,0.0010000000474974513,0.14846156537532806,0.9345402121543884,0.20415925979614258
3,0.9529688358306885,0.0010000000474974513,0.1604156345129013,0.9591600298881531,0.12758687138557434
4,0.9667994379997253,0.0010000000474974513,0.12176896631717682,0.9552498459815979,0.15660183131694794
5,0.9638667702674866,0.0010000000474974513,0.1284172534942627,0.96567702293396,0.1319771558046341
6,0.9680303931236267,0.0010000000474974513,0.1149950698018074,0.9645184874534607,0.12107013911008835
7,0.9632512927055359,0.0010000000474974513,0.13039915263652802,0.9555394649505615,0.15489248931407928
8,0.9595583081245422,0.0010000000474974513,0.13641586899757385,0.9511947631835938,0.16249442100524902
9,0.961911678314209,0.0010000000474974513,0.12898151576519012,0.9582911133766174,0.14610016345977783
10,0.9720130562782288,0.00020000000949949026,0.10126136243343353,0.9354091286659241,0.18043214082717896
11,0.9708182215690613,0.00020000000949949026,0.10281989723443985,0.9270094037055969,0.21246789395809174
